Animal_ID,Trial,Dpat,Time_min,l_star,a_star,b_star,PaO2,cal_SaO2,PaCO2,Cl,HCO3,Temp,pH,Cartridge_expired,Coox_SaO2,Hct,total_Hb,O2Hb,COHb,MetHb,O2_suppl
I5,6,0,5,19.2,42.7,28.1,60.4,95.8,37.2,109,22.7,40.4,7.39,No,92.1,29,10.8,87.6,3.7,1.1,No
I5,6,0,10,19.2,43,28.1,72.2,94.8,35.3,107,23,40.7,7.42,No,91.5,26,9.6,87.4,3.1,1.4,No
I5,6,0,15,19.2,42.7,29.9,68.7,94.4,34.8,107,24.2,40,7.45,No,92.7,24,9.1,88.1,3.4,1.6,No
I5,6,0,20,20.2,45.2,32.4,77.9,96.5,33.5,107,25.8,40.6,7.49,No,93.6,24,8.5,89.9,3,1,No
I5,6,0,30,18.3,42.1,28.3,65.5,94.3,38.3,105,29.7,40.7,7.5,No,92,22,8.2,87.5,3.3,1.6,No
I6,1,0,5,18.6,38.7,24,NA,NA,NA,NA,NA,NA,NA,No,86.6,NA,8.9,83.4,1.5,2.3,NA
I6,1,0,10,18.1,40.9,26.7,NA,NA,NA,NA,NA,NA,NA,No,89.3,NA,7.3,86.5,0.6,2.5,NA
I6,1,0,15,18.9,39.9,27,NA,NA,NA,NA,NA,NA,NA,No,91.4,NA,6.7,87.6,2.1,2,NA
I6,1,0,20,18.4,40.9,26.8,NA,NA,NA,NA,NA,NA,NA,No,90.9,NA,7.2,88.4,0,2.8,NA
I6,1,0,30,19.7,43,30.4,NA,NA,NA,NA,NA,NA,NA,No,92.3,NA,6.4,88.8,1.6,2.2,NA
I6,5,0,5,16,36.8,22.4,37.6,67.1,53.4,108,28.9,38.8,7.34,No,73,33,11.5,70.8,0.9,2.1,No
I6,5,0,10,17.8,40.7,26.4,56.6,87.6,50.9,107,29.3,39.1,7.37,No,85.3,29,10.4,82.2,1.7,2,No
I6,5,0,15,17,40.4,26.9,47.1,81,52,108,30.8,38.8,7.38,No,83.8,27,9.4,80.6,1.9,1.9,No
I6,5,0,20,18.1,41.6,28.6,53.4,86.8,50,106,31.2,38.9,7.4,No,86.9,25,9.3,84.2,1.2,1.7,No
I6,5,0,30,19.4,42.9,29.1,61,91.8,47.1,106,33,38.8,7.45,No,90.6,24,8.7,87.2,2.7,1.1,No
I6,5,0,45,21.3,47.8,34.7,267.9,99.9,57.7,105,36.6,38.2,7.41,No,96.5,23,8.6,92.1,3.8,0.8,Yes
I8,1,5,5,15.3,34.9,20,36.5,65.3,53.5,111,29.2,39.1,7.35,No,64.2,32,11.6,62.2,0.5,2.7,No
I8,1,5,10,15.8,35.4,21.9,44.6,79,45.5,115,26.9,39.4,7.38,No,72.4,24,9.4,70.6,0,2.5,No
I8,1,5,15,17.3,36.9,22,49.1,82.5,53.9,109,31.7,39.4,7.38,No,79.1,24,9.2,76.9,0.8,1.9,No
I8,1,5,20,17.2,39.4,25.1,45.9,79.3,55.1,111,32.2,39.3,7.37,No,78.8,22,8.7,76.2,1.2,2.2,No
I8,1,5,30,17.4,38.5,25.2,49.6,84.2,51.8,109,32.7,39.3,7.41,No,80.1,21,7.9,77.9,1,1.7,No
I8,3,70,5,15.6,30.7,17,38.3,67,53.1,114,27.4,38.9,7.32,No,67.6,25,10.1,65.8,0,2.7,No
I8,3,70,10,16.11,37.6,23.9,47.3,80.2,51.7,114,29,39.1,7.36,No,79.8,23,8.9,77.4,0.9,2.1,No
I8,3,70,15,16.9,37.5,23,47.8,81.7,49.2,114,28.8,39.3,7.38,No,81.3,20,8.3,77.9,2,2.2,No
I8,3,70,20,17,36.3,21.5,49.1,82.7,53.8,112,31.9,39.3,7.38,No,80.7,21,8.2,76.8,2.1,2.7,No
I8,3,70,30,18.7,41,27,57.5,89.6,49.3,112,32.2,39.1,7.42,No,90.1,19,7.7,86.1,2.8,1.7,No
I8,4,0,5,12.2,30,15.3,36.6,62,60.3,116,29.5,39.4,7.3,No,62.6,32,12,60.6,0,3.2,No
I8,4,0,10,16,32,18.4,42.6,74.4,55.5,117,30.4,39.7,7.35,No,72.3,27,10.3,69.7,0.9,2.7,No
I8,4,0,15,15.3,35.3,20.5,42.6,74.3,58.4,113,32.4,39.8,7.35,No,73.6,25,9.5,70.9,1,2.7,No
I8,4,0,20,16.3,36.4,22,41.2,74.1,55.4,115,32.7,39.8,7.38,No,75.6,23,8.9,72.6,1.7,2.4,No
